"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"PLACE OF BIRTH","","","",""
"    Total population","340,110,990","*****","340,110,990","(X)"
"        Native","289,876,132","±162,660","85.2%","±0.1"
"            Born in United States","283,989,101","±156,027","83.5%","±0.1"
"                State of residence","192,192,461","±201,135","56.5%","±0.1"
"                Different state","91,796,640","±204,628","27.0%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","5,887,031","±60,432","1.7%","±0.1"
"        Foreign-born","50,234,858","±162,664","14.8%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","50,234,858","±162,664","50,234,858","(X)"
"        Naturalized U.S. citizen","25,837,975","±113,967","51.4%","±0.2"
"        Not a U.S. citizen","24,396,883","±160,731","48.6%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","56,121,889","±156,031","56,121,889","(X)"
"        Native","5,887,031","±60,432","5,887,031","(X)"
"            Entered 2010 or later","2,113,102","±44,956","35.9%","±0.6"
"            Entered before 2010","3,773,929","±43,362","64.1%","±0.6"
"        Foreign-born","50,234,858","±162,664","50,234,858","(X)"
"            Entered 2010 or later","18,950,166","±141,306","37.7%","±0.2"
"            Entered before 2010","31,284,692","±98,880","62.3%","±0.2"
"WORLD REGION OF BIRTH OF FOREIGN-BORN","","","",""
"    Foreign-born population, excluding population born at sea","50,234,841","±162,666","50,234,841","(X)"
"        Europe","4,861,535","±55,103","9.7%","±0.1"
"        Asia","15,471,414","±68,123","30.8%","±0.1"
"        Africa","2,968,817","±50,968","5.9%","±0.1"
"        Oceania","303,835","±13,393","0.6%","±0.1"
"        Latin America","25,798,758","±124,090","51.4%","±0.2"
"        Northern America","830,482","±19,750","1.7%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","321,745,943","±18,702","321,745,943","(X)"
"        English only","247,695,110","±225,544","77.0%","±0.1"
"        Language other than English","74,050,833","±218,115","23.0%","±0.1"
"            Speak English less than ""very well""","28,918,748","±156,029","9.0%","±0.1"
"        Spanish","44,867,699","±143,192","13.9%","±0.1"
"            Speak English less than ""very well""","18,432,221","±123,301","5.7%","±0.1"
"        Other Indo-European languages","13,038,087","±101,182","4.1%","±0.1"
"            Speak English less than ""very well""","4,112,567","±57,368","1.3%","±0.1"
"        Asian and Pacific Islander languages","11,928,962","±68,685","3.7%","±0.1"
"            Speak English less than ""very well""","5,136,296","±46,478","1.6%","±0.1"
"        Other languages","4,216,085","±67,974","1.3%","±0.1"
"            Speak English less than ""very well""","1,237,664","±32,974","0.4%","±0.1"
"ANCESTRY","","","",""
"    Total population","340,110,990","*****","340,110,990","(X)"
"        American","18,060,343","±120,817","5.3%","±0.1"
"        Arab","2,349,805","±57,616","0.7%","±0.1"
"        Czech","1,200,285","±21,334","0.4%","±0.1"
"        Danish","1,110,484","±24,959","0.3%","±0.1"
"        Dutch","3,011,733","±43,171","0.9%","±0.1"
"        English","31,017,275","±210,386","9.1%","±0.1"
"        French (except Basque)","6,128,915","±59,242","1.8%","±0.1"
"        French Canadian","1,589,295","±31,104","0.5%","±0.1"
"        German","40,218,028","±163,659","11.8%","±0.1"
"        Greek","1,207,425","±32,880","0.4%","±0.1"
"        Hungarian","1,277,896","±26,437","0.4%","±0.1"
"        Irish","32,392,581","±116,183","9.5%","±0.1"
"        Italian","16,271,362","±94,914","4.8%","±0.1"
"        Lithuanian","593,350","±15,876","0.2%","±0.1"
"        Norwegian","3,864,701","±40,158","1.1%","±0.1"
"        Polish","8,342,225","±80,154","2.5%","±0.1"
"        Portuguese","1,370,146","±32,336","0.4%","±0.1"
"        Russian","2,055,088","±36,090","0.6%","±0.1"
"        Scotch-Irish","2,509,053","±36,953","0.7%","±0.1"
"        Scottish","6,580,952","±52,916","1.9%","±0.1"
"        Slovak","574,325","±16,048","0.2%","±0.1"
"        Subsaharan African","4,686,257","±76,291","1.4%","±0.1"
"        Swedish","3,251,869","±39,689","1.0%","±0.1"
"        Swiss","861,324","±21,778","0.3%","±0.1"
"        Ukrainian","1,263,837","±36,402","0.4%","±0.1"
"        Welsh","1,532,031","±30,524","0.5%","±0.1"
"        West Indian (excluding Hispanic origin groups)","3,518,552","±63,413","1.0%","±0.1"
"COMPUTERS AND INTERNET USE","","","",""
"    Total households","132,737,146","±140,273","132,737,146","(X)"
"        With a computer","128,230,933","±154,830","96.6%","±0.1"
"        With a broadband Internet subscription","123,745,956","±167,596","93.2%","±0.1"
